"","y","m","grupo","valor","peso","my"
"218",2012,6,"Bananas",85585456.01,196511299.45,Jun 2012
"219",2012,6,"Carbon",674853220.64,7473676743,Jun 2012
"220",2012,6,"Ferroníquel",104965780.81,155779267,Jun 2012
"221",2012,6,"Flores",72126037.94,13637037.63,Jun 2012
"222",2012,6,"Oro",276759623.91,6714.2,Jun 2012
"223",2012,7,"Bananas",56926003,134958267.88,Jul 2012
"224",2012,7,"Carbon",752804183.6,8083372708.41,Jul 2012
"225",2012,7,"Ferroníquel",113877504.4,226822772,Jul 2012
"226",2012,7,"Flores",134254610.14,21100106.32,Jul 2012
"227",2012,7,"Oro",264216234.22,6371.59,Jul 2012
"228",2012,8,"Bananas",62731987.55,150261037.34,Aug 2012
"229",2012,8,"Carbon",303088626.43,3331288328.57,Aug 2012
"230",2012,8,"Ferroníquel",147292285.39,259928848,Aug 2012
"231",2012,8,"Flores",81003691.97,15659281.75,Aug 2012
"232",2012,8,"Oro",276030359.99,6608.05,Aug 2012
"233",2012,9,"Bananas",51566123.85,125723129.16,Sep 2012
"234",2012,9,"Carbon",357953048.97,3790688700,Sep 2012
"235",2012,9,"Ferroníquel",87969790.02,92033823,Sep 2012
"236",2012,9,"Flores",70678501.1,14330657.82,Sep 2012
"237",2012,9,"Oro",302618175.92,6901.89,Sep 2012
"238",2012,10,"Bananas",78722134.78,190721314.07,Oct 2012
"239",2012,10,"Carbon",774606490.47,8243487750,Oct 2012
"240",2012,10,"Ferroníquel",85275725,146123718,Oct 2012
"241",2012,10,"Flores",74685561.79,14969618.6,Oct 2012
"242",2012,10,"Oro",312935730.08,7349.41,Oct 2012
"243",2012,11,"Bananas",74204851.88,180811774.34,Nov 2012
"244",2012,11,"Carbon",525069926.89,5750700000,Nov 2012
"245",2012,11,"Ferroníquel",116773797.19,128636104,Nov 2012
"246",2012,11,"Flores",98725650.38,18475449.31,Nov 2012
"247",2012,11,"Oro",275022674.87,6225.68,Nov 2012
"248",2012,12,"Bananas",68669072.97,166637712.53,Dec 2012
"249",2012,12,"Carbon",512282676.06,5551544270,Dec 2012
"250",2012,12,"Ferroníquel",102584444.93,139493519,Dec 2012
"251",2012,12,"Flores",60760083.41,11536601.91,Dec 2012
"252",2012,12,"Oro",271508626.68,6229.56,Dec 2012
"253",2013,1,"Bananas",42414732.86,104797670.64,Jan 2013
"254",2013,1,"Carbon",605678121.49,6533846730,Jan 2013
"255",2013,1,"Ferroníquel",98724706.61,164116325,Jan 2013
"256",2013,1,"Flores",90196568,16799506.62,Jan 2013
"257",2013,1,"Oro",283716895.15,6847.18,Jan 2013
"258",2013,2,"Bananas",43411013.57,102220909.9,Feb 2013
"259",2013,2,"Carbon",280022898.65,3279828883.71,Feb 2013
"260",2013,2,"Ferroníquel",85836863.42,181908021,Feb 2013
"261",2013,2,"Flores",86314749.6,14594236.51,Feb 2013
"262",2013,2,"Oro",224386014.44,5417.53,Feb 2013
"263",2013,3,"Bananas",51430737.05,116028159.3,Mar 2013
"264",2013,3,"Carbon",166612125.66,1935023350,Mar 2013
"265",2013,3,"Ferroníquel",99529455.8,95338753,Mar 2013
"266",2013,3,"Flores",118229362.17,19429074.17,Mar 2013
"267",2013,3,"Oro",241578875.4,5994.91,Mar 2013
"268",2013,4,"Bananas",92823733.83,209077223.01,Apr 2013
"269",2013,4,"Carbon",484846992.64,5703411930,Apr 2013
"270",2013,4,"Ferroníquel",121027393.85,232933006.3,Apr 2013
"271",2013,4,"Flores",150353614.71,20484250.61,Apr 2013
"272",2013,4,"Oro",224826996.05,6012.75,Apr 2013
"273",2013,5,"Bananas",69943838.16,154291756.67,May 2013
"274",2013,5,"Carbon",624069803.3,7633579180,May 2013
"275",2013,5,"Ferroníquel",133692961.52,309636619,May 2013
"276",2013,5,"Flores",125357442.41,21297928.61,May 2013
"277",2013,5,"Oro",175957085.11,4747.46,May 2013
"278",2013,6,"Bananas",67366334.53,150934061.07,Jun 2013
"279",2013,6,"Carbon",502832552.85,6061553510.01,Jun 2013
"280",2013,6,"Ferroníquel",72548210.17,136979927.8,Jun 2013
"281",2013,6,"Flores",104701307.34,17983184.33,Jun 2013
"282",2013,6,"Oro",155743742.8,4382.71,Jun 2013
"283",2013,7,"Bananas",65438924.92,145468011.47,Jul 2013
"284",2013,7,"Carbon",491602283.03,5819896020,Jul 2013
"285",2013,7,"Ferroníquel",87879679.39,160391181.41,Jul 2013
"286",2013,7,"Flores",89962595.97,17228451.63,Jul 2013
"287",2013,7,"Oro",150752845.03,4569.43,Jul 2013
"288",2013,8,"Bananas",32472223.8,76356596.05,Aug 2013
"289",2013,8,"Carbon",551011857.74,7170930010,Aug 2013
"290",2013,8,"Ferroníquel",91590247.99,151945948.4,Aug 2013
"291",2013,8,"Flores",116100025.79,20047380.02,Aug 2013
"292",2013,8,"Oro",98003085.35,2849.54,Aug 2013
"293",2013,9,"Bananas",32979420.3,75929615.07,Sep 2013
"294",2013,9,"Carbon",606654887.78,8046429690,Sep 2013
"295",2013,9,"Ferroníquel",81356214.86,113848095.1,Sep 2013
"296",2013,9,"Flores",84829907.35,17394457.3,Sep 2013
"297",2013,9,"Oro",135684670.97,3872.98,Sep 2013
"298",2013,10,"Bananas",60709712.62,140974951.73,Oct 2013
"299",2013,10,"Carbon",496241430.15,5990815130,Oct 2013
"300",2013,10,"Ferroníquel",89540422.47,212747531.9,Oct 2013
"301",2013,10,"Flores",73818398.23,15715861.45,Oct 2013
"302",2013,10,"Oro",121613239.52,3454.13,Oct 2013
"303",2013,11,"Bananas",65463474.23,156326966.12,Nov 2013
"304",2013,11,"Carbon",544614601.2,6561556511,Nov 2013
"305",2013,11,"Ferroníquel",73900461.53,141694495.78,Nov 2013
"306",2013,11,"Flores",83589637.06,17236663.01,Nov 2013
"307",2013,11,"Oro",115416262.99,3430.68,Nov 2013
"308",2013,12,"Bananas",83147082.65,201617306.58,Dec 2013
"309",2013,12,"Carbon",725693588.97,8672880550,Dec 2013
"310",2013,12,"Ferroníquel",78145110.85,130446056.18,Dec 2013
"311",2013,12,"Flores",70936366.86,14402194.76,Dec 2013
"312",2013,12,"Oro",151262719.99,4692.81,Dec 2013
"313",2014,1,"Bananas",62501631.15,152229854.21,Jan 2014
"314",2014,1,"Carbon",543299713.63,6859558383,Jan 2014
"315",2014,1,"Ferroníquel",99777342.92,230518834.2,Jan 2014
"316",2014,1,"Flores",95613320.68,18478549.44,Jan 2014
"317",2014,1,"Oro",110360312.21,3404.62,Jan 2014
"318",2014,2,"Bananas",83096210.73,203783653.77,Feb 2014
"319",2014,2,"Carbon",286884869.9,3931284842,Feb 2014
"320",2014,2,"Ferroníquel",62956945.11,99494882,Feb 2014
"321",2014,2,"Flores",113782867.25,19886580.42,Feb 2014
"322",2014,2,"Oro",117613987.97,3606.94,Feb 2014
"323",2014,3,"Bananas",62434642.05,143563992.59,Mar 2014
"324",2014,3,"Carbon",208875761.85,2989128560,Mar 2014
"325",2014,3,"Ferroníquel",81367053.67,194605140.25,Mar 2014
"326",2014,3,"Flores",113280679.69,17056234.12,Mar 2014
"327",2014,3,"Oro",154236514.15,4543.05,Mar 2014
"328",2014,4,"Bananas",58879790.34,132643418.75,Apr 2014
"329",2014,4,"Carbon",368615324.19,5205700570.01,Apr 2014
"330",2014,4,"Ferroníquel",52950437.05,105831369.33,Apr 2014
"331",2014,4,"Flores",104901707.21,18011459.26,Apr 2014
